District Name	No Of claims	Claim Amount in crore rs.
BALOD	27093	17.15
BALODA BAZAR	44119	29.65
BALRAMPUR	27842	18.63
BASTAR	44018	34.05
BEMETARA	17030	8.29
BIJAPUR	22640	13.82
BILASPUR	97563	129.52
DANTEWADA	10834	6.18
DHAMTARI	34256	38.01
DURG	90938	96.82
GARIYABAND	17519	13.6
Gaurella Pendra Marwahi	3751	1.17
JANJGIR-CHAMPA	34440	24.75
JASHPUR	32028	15.09
KABIRDHAM	25910	28.17
KANKER	31982	22.75
KONDAGAON	19525	13.51
KORBA	40018	32.52
KOREA	34672	21.64
MAHASAMUND	26057	32.84
MUNGELI	14013	8
NARAYANPUR	6280	4.41
RAIGARH	75000	59
RAIPUR	275257	501
RAJNANDGAON	59801	71.21
SUKMA	10373	5.13
SURAJPUR	23494	15.38
SURGUJA	55278	59.29
