HC_ID,NAME_HIN,NAME_ENG,DISTRICT_ID,BLOCK_ID
0139000,जिला असपताल सरगुजा,DH SARGUJA(AMBIKAPUR) ,39,05
0140000,जिला असपताल बिलासपुर,DH BILASPUR,40,04
0141000,जिला असपताल रायगढ़,DH RAIGARH ,41,08
0142000,जिला असपताल राजनांदगांव,DH RAJNANDGAON ,42,04
0143000,जिला असपताल दुर्ग,DH DURG ,43,01
0144000,जिला असपताल रायपुर,DH RAIPUR,44,01
0145000,जिला असपताल बस्तर,DH BASTAR(JAGADALPUR) ,45,03
0153000,जिला असपताल कोरिया,DH KORIA,53,01
0154000,जिला असपताल जांजगीर-चाम्पा,DH JANJGIR(CHAMPA) ,54,01
0155000,जिला असपताल कोरबा,DH KORBA ,55,01
0156000,जिला असपताल जशपुर,DH JASHPUR ,56,03
0157000,जिला असपताल कवर्धा,DH KAWARDHA,57,02
0158000,जिला असपताल महासमुंद,DH MAHASAMUND,58,02
0159000,जिला असपताल धमतरी,DH DHAMTARI,59,04
0160000,जिला असपताल कांकेर,DH KANKER,60,04
0161000,जिला असपताल दन्तेवाड़ा,DH DANTEWADA,61,01
0162000,जिला असपताल नारायणपुर ,DH NARAYANPUR,62,13
0163000,जिला असपताल बीजापुर ,DH BIJAPUR,63,05
0164000,जिला असपताल सुकमा,DH SUKMA,64,10
0165000,जिला असपताल कोंडागाँव,DH KONDAGAON,65,08
0166000,जिला असपताल बलोदाबाजार,DH BALODABAJAR,66,09
0167000,जिला असपताल गरियाबन्ध,DH GARIYABANDH,67,14
0168000,जिला असपताल बेमेतरा,DH BEMETARA,68,09
0169000,जिला असपताल बालोद,DH BALOD,69,05
0170000,जिला असपताल मुंगेली,DH MUNGELI,70,05
0171000,जिला असपताल सूरजपुर,DH SURAJPUR,71,09
0172000,जिला असपताल बलरामपुर,DH BALRAMPUR,72,18
0176000,जिला अस्पताल गौरेला पेण्ड्रा मरवाही,DH GPM,76,04
0177000,जिला अस्पताल खैरागढ़ छुईखदान गंडई,DH KHAIRGARH CHHUIKHADAN GANDAI,77,04
0178000,जिला अस्पताल मनेन्द्रगढ़ चिरमिरी भरतपुर,DH MANENDRAGARH CHIRIMIRI BHARATPUR,78,01
0179000,जिला अस्पताल मोहला मानपुर अम्बागढ़ चौकी,DH MOHLA MANPUR AMBAGARH CHOUKI,79,04
0180000,जिला अस्पताल सक्ती,DH SAKTI,80,01
0181000,जिला अस्पताल सारंगढ़ बिलाईगढ़,DH SARANGARH BILAIGARH,81,09
0239001,विकासखंड कार्यालय-बलरामपुर,Block Office-Balrampur,72,18
0239002,सी.एच.सी. बतौली,CHC Batauli,39,04
0239003,विकासखंड कार्यालय-पी.एच.सी. भाफौलि,Block Office-PHC Bhafoulii,39,01
0239004,सी.एच.सी. भैयाथान,CHC Bhaiyathan,71,10
0239005,सी.एच.सी. धौरपुर,CHC Dhourpur,39,07
0239006,सी.एच.सी. कुसमी,CHC Kusmi,72,15
0239007,सी.एच.सी. लखनपुर,CHC Lakhanpur,39,02
0239008,सी.एच.सी. मैनपाट,CHC Mainpat,39,08
0239009,सी.एच.सी. ओड़गी,CHC Odgi,71,13
0239010,सी.एच.सी. प्रतापपुर,CHC Pratappur,71,14
0239011,सी.एच.सी. प्रेमनगर,CHC Premnagar,71,12
0239012,सी.एच.सी. राजपुर,CHC Rajpur,72,06
0239013,सी.एच.सी. रामानुजगंज,CHC Ramanujganj,72,17
0239014,सी.एच.सी. रामानुजनगर,CHC Ramanujnagar,71,11
0239015,सी.एच.सी. शंकरगढ़,CHC Shankargarh,72,16
0239016,सी.एच.सी. सीतापुर,CHC Sitapur,39,03
0239017,विकासखंड कार्यालय-सुरजपुर,Block Office-Surajpur,71,09
0239018,सी.एच.सी. उदयपुर,CHC Udaipur,39,05
0239019,सी.एच.सी. वाड्रफनगर,CHC Wadrafnagar,72,19
0239720,सी.एच.सी. बिशरामपुर,CHC Bishrampur,71,09
0240001,सी.एच.सी. बिल्‍हा,CHC BILHA,40,01
0240002,सी.एच.सी. गैरेला,CHC GOURELLA,76,09
0240003,सी.एच.सी. कोटा,CHC KOTA,40,03
0240004,सी.एच.सी. लोरमी,CHC LORMI,70,07
0240005,सी.एच.सी. मरवाही,CHC MARWAHI,76,10
0240006,सी.एच.सी. मस्‍तूरी,CHC MASTURI,40,02
0240007,सी.एच.सी. पथरिया,CHC PATHARIYA,70,06
0240008,विकासखंड कार्यालय-मुंगेली,Block Office-Mungeli,70,05
0240009,सी.एच.सी. पेन्‍ड्रा,CHC PENDRA,76,08
0240010,सी.एच.सी. तखतपुर,CHC TAKHATPUR,40,04
0240266,सी.एच.सी. रतनपुर,CHC Ratanpur,40,03
0241001,सी.एच.सी. बरमकेला,CHC BARAMKELA,81,04
0241002,सी.एच.सी. चपले,CHC CHAPLE (KHARSIA),41,05
0241003,सी.एच.सी. घरघोड़ा,CHC GHARGHODA,41,06
0241004,सी.एच.सी. लैलूंगा,CHC LAILUNGA,41,08
0241005,सी.एच.सी. लोईंग,CHC Loing,41,01
0241006,सी.एच.सी. पुसौर,CHC PUSSORE,41,02
0241007,सी.एच.सी. सारंगढ़,CHC SARANGARH,81,03
0241008,सी.एच.सी. तमनार,CHC TAMNAR,41,07
0241009,सी.एच.सी. विजयनगर,CHC VIJAYNAGAR,41,09
0241442,सी.एच.सी. कापू,CHC Kapu,41,09
0242001,सी.एच.सी. अ.चौकी,CHC Ambagarh chowki,79,07
0242002,सी.एच.सी. छुईखदान,CHC Chhuikhadan,77,06
0242003,सी.एच.सी. छुरिया,CHC Chhuria,42,03
0242004,सी.एच.सी. डोगरगांव,CHC Dongargaon,42,02
